Author	Strain	Description
M. Peteroy-Kelly	ATCC25923	WT cells, untreated, replicate 1
M. Peteroy-Kelly	ATCC25923	WT cells, untreated, replicate 2
M. Peteroy-Kelly	ATCC25923	WT cells, untreated, replicate 3
M. Peteroy-Kelly	JJ5	JJ5 mutant cells (ciprofloxacin resistant), untreated, replicate 1
M. Peteroy-Kelly	JJ5	JJ5 mutant cells (ciprofloxacin resistant), untreated, replicate 2
M. Peteroy-Kelly	JJ5	JJ5 mutant cells (ciprofloxacin resistant), untreated, replicate 3
M. Peteroy-Kelly	ATCC25923	WT cells treated with triclosan (1ug/mL), replicate 1
M. Peteroy-Kelly	ATCC25923	WT cells treated with triclosan (1ug/mL), replicate 2
M. Peteroy-Kelly	ATCC25923	WT cells treated with triclosan (1ug/mL), replicate 3
M. Peteroy-Kelly	JJ5	JJ5 mutant cells (ciprofloxacin resistant), treated with triclosan (1ug/mL), replicate 1
M. Peteroy-Kelly	JJ5	JJ5 mutant cells (ciprofloxacin resistant), treated with triclosan (1ug/mL), replicate 2
M. Peteroy-Kelly	JJ5	JJ5 mutant cells (ciprofloxacin resistant), treated with triclosan (1ug/mL), replicate 3
D. Wang	ATCC25923	WT cells, untreated, t=45min, replicate 1
D. Wang	ATCC25923	WT cells, untreated, t=45min, replicate 2
D. Wang	ATCC25923	WT cells, untreated, t=45min, replicate 3
D. Wang	ATCC25923	WT cells, treated with berberine (64ug/mL), t=45min, replicate 1
D. Wang	ATCC25923	WT cells, treated with berberine (64ug/mL), t=45min, replicate 2
D. Wang	ATCC25923	WT cells, treated with berberine (64ug/mL), t=45min, replicate 3
L. Yu	ATCC25923	WT cells, untreated, t=45min, replicate 1
L. Yu	ATCC25923	WT cells, untreated, t=45min, replicate 2
L. Yu	ATCC25923	WT cells, untreated, t=45min, replicate 3
L. Yu	ATCC25923	WT cells, treated with rhein (8ug/mL), t=45min, replicate 1
L. Yu	ATCC25923	WT cells, treated with rhein (8ug/mL), t=45min, replicate 2
L. Yu	ATCC25923	WT cells, treated with rhein (8ug/mL), t=45min, replicate 3
J. Yarwood	FRI1169	FRI1169 WT cells, untreated, replicate 1
J. Yarwood	FRI1169	FRI1169 WT cells, untreated, replicate 2
J. Yarwood	FRI1169 non-hemolytic	FRI1169 non-hemolytic variant cells, untreated, replicate 1
J. Yarwood	FRI1169 non-hemolytic	FRI1169 non-hemolytic variant cells, untreated, replicate 2
X. Deng	ATCC25923	WT cells batch1, untreated, t=45min, replicate 1
X. Deng	ATCC25923	WT cells batch1 treated with eugenol (250ug/mL), t=45min, replicate 1
H. Jang	NCTC 8325	WT cells, untreated, t=0min, replicate 1
H. Jang	NCTC 8325	WT cells, untreated, t=0min, replicate 2
H. Jang	NCTC 8325	WT cells, untreated, t=0min, replicate 3
H. Jang	NCTC 8325	WT cells, untreated, t=0min, replicate 4
H. Jang	NCTC 8325	WT cells, untreated, t=0min, replicate 5
H. Jang	NCTC 8325	WT cells treated with triclosan (0.05uM), t=10min, replicate 1
H. Jang	NCTC 8325	WT cells treated with triclosan (0.05uM), t=10min, replicate 2
H. Jang	NCTC 8325	WT cells treated with triclosan (0.05uM), t=10min, replicate 3
H. Jang	NCTC 8325	WT cells treated with triclosan (0.05uM), t=10min, replicate 4
H. Jang	NCTC 8325	WT cells treated with triclosan (0.05uM), t=10min, replicate 5
H. Jang	NCTC 8325	WT cells treated with triclosan (0.05uM), t=60min, replicate 1
H. Jang	NCTC 8325	WT cells treated with triclosan (0.05uM), t=60min, replicate 2
H. Jang	NCTC 8325	WT cells treated with triclosan (0.05uM), t=60min, replicate 3
H. Jang	NCTC 8325	WT cells treated with triclosan (0.05uM), t=60min, replicate 4
H. Jang	NCTC 8325	WT cells treated with triclosan (0.05uM), t=60min, replicate 5
B. Diep	SF8300	WT cells, exponential phase, replicate 1
B. Diep	SF8300	WT cells, exponential phase, replicate 2
B. Diep	SF8300	WT cells, exponential phase, replicate 3
B. Diep	SF8300	WT cells, stationary phase, replicate 1
B. Diep	SF8300	WT cells, stationary phase, replicate 2
B. Diep	SF8300	WT cells, stationary phase, replicate 3
B. Diep	SF8300	D SCCmec, exponential phase, replicate 1
B. Diep	SF8300	D SCCmec, exponential phase, replicate 2
B. Diep	SF8300	D SCCmec, exponential phase, replicate 3
B. Diep	SF8300	D SCCmec, stationary phase, replicate 1
B. Diep	SF8300	D SCCmec, stationary phase, replicate 2
B. Diep	SF8300	D SCCmec, stationary phase, replicate 3
B. Diep	SF8300	D ACME, exponential phase, replicate 1
B. Diep	SF8300	D ACME, exponential phase, replicate 2
B. Diep	SF8300	D ACME, exponential phase, replicate 3
B. Diep	SF8300	D ACME, stationary phase, replicate 1
